1ba53ab8,2026-08-27T01:10:38,4a,axis1 init,waveform+rr,all,False,16,tanh,softmax,xavier,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.023003,0.993333,0.94048,0.333222,0.914269,0.398683,0.9565|0.0163|0.622|0.0,0.898266,25.01
a2a4f9b8,2026-08-27T01:11:02,4a,axis1 init,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.024646,0.992691,0.92971,0.487871,0.871023,0.363245,0.934|0.0|0.4882|0.0308,0.898266,23.26
e19e452a,2026-08-27T01:11:27,4a,axis1 init,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.023149,0.993728,0.943798,0.392454,0.900076,0.416142,0.9495|0.0155|0.6951|0.0045,0.898266,25.11
3ea1c100,2026-08-27T01:11:51,4a,axis1 init,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.025906,0.992839,0.936098,0.343836,0.913888,0.425359,0.955|0.0348|0.7117|0.0,0.898266,24.58
816ca5f4,2026-08-27T01:12:16,4a,axis2 l2,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.024646,0.992691,0.92971,0.487871,0.871023,0.363245,0.934|0.0|0.4882|0.0308,0.898266,24.28
947769c9,2026-08-27T01:12:36,4a,axis2 l2,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.023149,0.993728,0.943798,0.392454,0.900076,0.416142,0.9495|0.0155|0.6951|0.0045,0.898266,20.28
3de1e93c,2026-08-27T01:12:47,4a,axis2 l2,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.025906,0.992839,0.936098,0.343836,0.913888,0.425359,0.955|0.0348|0.7117|0.0,0.898266,11.17
1e3427ea,2026-08-27T01:12:58,4a,axis2 l2,waveform+rr,all,False,16,tanh,softmax,he,0.01,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.023672,0.993456,0.93663,0.360077,0.903601,0.400424,0.9526|0.0179|0.5904|0.0408,0.898266,11.19
ceb6ce76,2026-08-27T01:13:09,4a,axis2 l2,waveform+rr,all,False,16,tanh,softmax,he,0.01,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.025073,0.992839,0.938005,0.373313,0.900743,0.408808,0.9498|0.0157|0.6645|0.0053,0.898266,10.65
a41537fc,2026-08-27T01:13:22,4a,axis2 l2,waveform+rr,all,False,16,tanh,softmax,he,0.01,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.029947,0.991308,0.918508,0.3468,0.912841,0.409576,0.9536|0.0258|0.659|0.0,0.898266,12.59
f9cfe361,2026-08-27T01:13:46,4a,axis2 l2,waveform+rr,all,False,16,tanh,softmax,he,0.1,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.041893,0.989283,0.908124,0.4309,0.858068,0.344656,0.926|0.0179|0.3821|0.0526,0.898266,24.77
e861c91d,2026-08-27T01:14:12,4a,axis2 l2,waveform+rr,all,False,16,tanh,softmax,he,0.1,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.040279,0.98832,0.895936,0.381278,0.882073,0.357772,0.94|0.0143|0.4241|0.0526,0.898266,26.13
15989b5d,2026-08-27T01:14:38,4a,axis2 l2,waveform+rr,all,False,16,tanh,softmax,he,0.1,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.043424,0.988468,0.890587,0.305222,0.906935,0.400626,0.9526|0.0159|0.5752|0.0588,0.898266,25.74
ef11b19c,2026-08-27T01:15:04,4a,axis2 l2,waveform+rr,all,False,16,tanh,softmax,he,1.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.106537,0.973578,0.705748,0.601043,0.722138,0.260941,0.8375|0.0|0.2062|0.0,0.898266,25.57
40a6930e,2026-08-27T01:15:29,4a,axis2 l2,waveform+rr,all,False,16,tanh,softmax,he,1.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.109766,0.968985,0.617454,0.654845,0.716708,0.255505,0.8343|0.0|0.1878|0.0,0.898266,25.46
56e56301,2026-08-27T01:15:55,4a,axis2 l2,waveform+rr,all,False,16,tanh,softmax,he,1.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.106665,0.970861,0.641875,0.606602,0.724138,0.265546,0.8382|0.0|0.224|0.0,0.898266,25.33
3c507a73,2026-08-27T01:16:19,4a,axis3 dropout,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.024646,0.992691,0.92971,0.487871,0.871023,0.363245,0.934|0.0|0.4882|0.0308,0.898266,24.84
64bd12ac,2026-08-27T01:16:42,4a,axis3 dropout,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.023149,0.993728,0.943798,0.392454,0.900076,0.416142,0.9495|0.0155|0.6951|0.0045,0.898266,22.93
d29a3b7e,2026-08-27T01:17:06,4a,axis3 dropout,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.025906,0.992839,0.936098,0.343836,0.913888,0.425359,0.955|0.0348|0.7117|0.0,0.898266,23.82
